Titulo,Título_Verif,Categoria,Link,Ranking,Avaliação,Qtd_Avaliação,Relevância,Qualidade da Imagem,Quantidade de Imagens,Vídeos,FBA,Bullets,Data
PROCESSADOR AMD RYZEN 7 5700G 3.8GHz (MAX TURBO 4.6GHz) 16MB CACHE AM4 100-100000263BOX,"(87, 'OK')",CPUs,https://www.amazon.com.br/Processador-AMD-Ryzen-5700G-Stealth/dp/B091J3NYVF/ref=sr_1_23?dib=eyJ2IjoiMSJ9.4lxg96fImPbYWYX0dQ2FG64fDMwvIfKolDQxNmifPPr-xjF5Tz1DwzgafF2uliMbmRbtBEjJ9DVCpwqAsL-7PTg2NuKabvnL9D390Mpug4_mHyiYMKiEH6nueCyEeuOgBUB7tdQr9PJsZb-vZeVVF1lFrxQkV-ZJTh2EV9R1o9zrenOQtjhQ4xK_CfcSUg3YJ1fCQObgitjlWGVtSSwAYEcZc9-7z44WjPbVk78Jh8Y.Ezoytsmjp-vCfd7pJGmZ3Jq5jZCW2iTiHuRANUHH4qc&dib_tag=se&m=A2KZSP8E0ZF21S&marketplaceID=A2Q3Y263D00KWC&qid=1745346670&s=merchant-items&sr=1-23&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147&xpid=m2HGw1-372EnG,6,"OK - 4.8, Ótima",8277,100.0,"('829x888', 'Necessário alteração. Baixa resolução')",OK,Adicionar um video,Sim,Adicionar mais 1 tópico(s),22/04/2025
"Headset Gamer Sem Fio Logitech G435 LIGHTSPEED, Conexão USB e Bluetooth, Design Leve e Confortável, Microfone Embutido, Bateria de até 18h - Compatível com Dolby Atmos, PC, PS4, PS5, Mobile – Preto","(197, 'OK')",Fones de Ouvido para Computador,https://www.amazon.com.br/Headset-est%C3%A9reo-conex%C3%A3o-Bluetooth-Logitech/dp/B08R8DT7X6/ref=sr_1_24?dib=eyJ2IjoiMSJ9.4lxg96fImPbYWYX0dQ2FG64fDMwvIfKolDQxNmifPPr-xjF5Tz1DwzgafF2uliMbmRbtBEjJ9DVCpwqAsL-7PTg2NuKabvnL9D390Mpug4_mHyiYMKiEH6nueCyEeuOgBUB7tdQr9PJsZb-vZeVVF1lFrxQkV-ZJTh2EV9R1o9zrenOQtjhQ4xK_CfcSUg3YJ1fCQObgitjlWGVtSSwAYEcZc9-7z44WjPbVk78Jh8Y.Ezoytsmjp-vCfd7pJGmZ3Jq5jZCW2iTiHuRANUHH4qc&dib_tag=se&m=A2KZSP8E0ZF21S&marketplaceID=A2Q3Y263D00KWC&qid=1745346670&s=merchant-items&sr=1-24&ufe=app_do%3Aamzn1.fos.4bddec23-2dcf-4403-8597-e1a02442043d&xpid=m2HGw1-372EnG,6,"OK - 4.5, Ótima",14111,100.0,"('1356x1500', 'OK')",OK,Adicionar um video,Sim,OK,22/04/2025
Intel Core i5-13400F 2.5GHz (4.6 Turbo) 10 Core LGA 1700 Processador para Desktop (Raptor Lake),"(95, 'OK')",CPUs,https://www.amazon.com.br/Intel-i5-13400F-2-5GHz-Processador-Desktop/dp/B0BN61LYFB/ref=sr_1_25?dib=eyJ2IjoiMSJ9.4lxg96fImPbYWYX0dQ2FG64fDMwvIfKolDQxNmifPPr-xjF5Tz1DwzgafF2uliMbmRbtBEjJ9DVCpwqAsL-7PTg2NuKabvnL9D390Mpug4_mHyiYMKiEH6nueCyEeuOgBUB7tdQr9PJsZb-vZeVVF1lFrxQkV-ZJTh2EV9R1o9zrenOQtjhQ4xK_CfcSUg3YJ1fCQObgitjlWGVtSSwAYEcZc9-7z44WjPbVk78Jh8Y.Ezoytsmjp-vCfd7pJGmZ3Jq5jZCW2iTiHuRANUHH4qc&dib_tag=se&m=A2KZSP8E0ZF21S&marketplaceID=A2Q3Y263D00KWC&qid=1745346670&s=merchant-items&sr=1-25&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147&xpid=m2HGw1-372EnG,20,"OK - 4.7, Ótima",699,100.0,"('722x775', 'Necessário alteração. Baixa resolução')",Adicionar mais 3 imagens,Adicionar um video,Sim,OK,22/04/2025
"Kingston KF552C40BB-16 - Módulo de memória de 16GB DDR5 5200Mhz FURY Beast Black 1,25V 1Rx8 288 pinos para desktop/gamers","(121, 'OK')",Memória,https://www.amazon.com.br/Kingston-KF552C40BB-16-mem%C3%B3ria-5200Mhz-desktop/dp/B09KCM59ZK/ref=sr_1_26?dib=eyJ2IjoiMSJ9.4lxg96fImPbYWYX0dQ2FG64fDMwvIfKolDQxNmifPPr-xjF5Tz1DwzgafF2uliMbmRbtBEjJ9DVCpwqAsL-7PTg2NuKabvnL9D390Mpug4_mHyiYMKiEH6nueCyEeuOgBUB7tdQr9PJsZb-vZeVVF1lFrxQkV-ZJTh2EV9R1o9zrenOQtjhQ4xK_CfcSUg3YJ1fCQObgitjlWGVtSSwAYEcZc9-7z44WjPbVk78Jh8Y.Ezoytsmjp-vCfd7pJGmZ3Jq5jZCW2iTiHuRANUHH4qc&dib_tag=se&m=A2KZSP8E0ZF21S&marketplaceID=A2Q3Y263D00KWC&qid=1745346670&s=merchant-items&sr=1-26&ufe=app_do%3Aamzn1.fos.e05b01e0-91a7-477e-a514-15a32325a6d6&xpid=m2HGw1-372EnG,72,"OK - 4.7, Ótima",206,100.0,"('1500x814', 'OK')",OK,Adicionar um video,Sim,Adicionar mais 1 tópico(s),22/04/2025
SSD M.2 2280 512GB PCIe Gen 3x4 NVMe Hikvision - HKM512P81A,"(59, 'OK')",Unidades Internas SSD,https://www.amazon.com.br/2280-512GB-PCIe-NVMe-Hikvision/dp/B0DK7M5SJ9/ref=sr_1_27?dib=eyJ2IjoiMSJ9.4lxg96fImPbYWYX0dQ2FG64fDMwvIfKolDQxNmifPPr-xjF5Tz1DwzgafF2uliMbmRbtBEjJ9DVCpwqAsL-7PTg2NuKabvnL9D390Mpug4_mHyiYMKiEH6nueCyEeuOgBUB7tdQr9PJsZb-vZeVVF1lFrxQkV-ZJTh2EV9R1o9zrenOQtjhQ4xK_CfcSUg3YJ1fCQObgitjlWGVtSSwAYEcZc9-7z44WjPbVk78Jh8Y.Ezoytsmjp-vCfd7pJGmZ3Jq5jZCW2iTiHuRANUHH4qc&dib_tag=se&m=A2KZSP8E0ZF21S&marketplaceID=A2Q3Y263D00KWC&qid=1745346670&s=merchant-items&sr=1-27&ufe=app_do%3Aamzn1.fos.a492fd4a-f54d-4e8d-8c31-35e0a04ce61e&xpid=m2HGw1-372EnG,58,"OK - 5.0, Ótima",2,41.2,"('235x844', 'Necessário alteração. Baixa resolução')",Adicionar mais 3 imagens,Adicionar um video,Sim,Adicionar mais 1 tópico(s),22/04/2025
GAINWARD Placa gráfica RTX 5070Ti Phoenix 16GB GDDR7 256bit 3-DP HDMI NE7507T019T2-GB2031X VD9016,"(97, 'OK')",Placas de Vídeo,https://www.amazon.com.br/GAINWARD-gr%C3%A1fica-5070Ti-Phoenix-NE7507T019T2-GB2031X/dp/B0DYBQLVXK/ref=sr_1_28?dib=eyJ2IjoiMSJ9.4lxg96fImPbYWYX0dQ2FG64fDMwvIfKolDQxNmifPPr-xjF5Tz1DwzgafF2uliMbmRbtBEjJ9DVCpwqAsL-7PTg2NuKabvnL9D390Mpug4_mHyiYMKiEH6nueCyEeuOgBUB7tdQr9PJsZb-vZeVVF1lFrxQkV-ZJTh2EV9R1o9zrenOQtjhQ4xK_CfcSUg3YJ1fCQObgitjlWGVtSSwAYEcZc9-7z44WjPbVk78Jh8Y.Ezoytsmjp-vCfd7pJGmZ3Jq5jZCW2iTiHuRANUHH4qc&dib_tag=se&m=A2KZSP8E0ZF21S&marketplaceID=A2Q3Y263D00KWC&qid=1745346670&s=merchant-items&sr=1-28&ufe=app_do%3Aamzn1.fos.a492fd4a-f54d-4e8d-8c31-35e0a04ce61e&xpid=m2HGw1-372EnG,49,null,-,0.0,"('1500x993', 'OK')",OK,Adicionar um video,Sim,Adicionar mais 4 tópico(s),22/04/2025
"ZOTAC Placa gráfica para jogos GeForce RTX 5080 Solid OC DLSS 4 16GB GDDR7 256-bit 30 Gbps PCIE 5.0 Gaming, IceStorm 3.0 Advanced Cooling, Spectra 2.0 ARGB Lighting, ZT-B50800J-10P","(180, 'OK')",Placas de Vídeo,https://www.amazon.com.br/ZOTAC-IceStorm-Advanced-Lighting-ZT-B50800J-10P/dp/B0DTZ48TCY/ref=sr_1_29?dib=eyJ2IjoiMSJ9.4lxg96fImPbYWYX0dQ2FG64fDMwvIfKolDQxNmifPPr-xjF5Tz1DwzgafF2uliMbmRbtBEjJ9DVCpwqAsL-7PTg2NuKabvnL9D390Mpug4_mHyiYMKiEH6nueCyEeuOgBUB7tdQr9PJsZb-vZeVVF1lFrxQkV-ZJTh2EV9R1o9zrenOQtjhQ4xK_CfcSUg3YJ1fCQObgitjlWGVtSSwAYEcZc9-7z44WjPbVk78Jh8Y.Ezoytsmjp-vCfd7pJGmZ3Jq5jZCW2iTiHuRANUHH4qc&dib_tag=se&m=A2KZSP8E0ZF21S&marketplaceID=A2Q3Y263D00KWC&qid=1745346670&s=merchant-items&sr=1-29&ufe=app_do%3Aamzn1.fos.a492fd4a-f54d-4e8d-8c31-35e0a04ce61e&xpid=m2HGw1-372EnG,21,"OK - 4.6, Ótima",7,41.0,"('1500x1002', 'OK')",OK,Adicionar um video,Sim,OK,22/04/2025
Placa Mãe MSI PRO H610M-G (LGA1700 /2xDDR4/HDMI/VGA/DP/M.2/USB 3.2),"(67, 'OK')",Placas-Mãe,https://www.amazon.com.br/MSI-PRO-H610M-G-LGA1700-2xDDR4/dp/B09P45FMWW/ref=sr_1_30?dib=eyJ2IjoiMSJ9.4lxg96fImPbYWYX0dQ2FG64fDMwvIfKolDQxNmifPPr-xjF5Tz1DwzgafF2uliMbmRbtBEjJ9DVCpwqAsL-7PTg2NuKabvnL9D390Mpug4_mHyiYMKiEH6nueCyEeuOgBUB7tdQr9PJsZb-vZeVVF1lFrxQkV-ZJTh2EV9R1o9zrenOQtjhQ4xK_CfcSUg3YJ1fCQObgitjlWGVtSSwAYEcZc9-7z44WjPbVk78Jh8Y.Ezoytsmjp-vCfd7pJGmZ3Jq5jZCW2iTiHuRANUHH4qc&dib_tag=se&m=A2KZSP8E0ZF21S&marketplaceID=A2Q3Y263D00KWC&qid=1745346670&s=merchant-items&sr=1-30&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147&xpid=m2HGw1-372EnG,25,"OK - 4.5, Ótima",259,100.0,"('1500x887', 'OK')",OK,Adicionar um video,Sim,Adicionar mais 4 tópico(s),22/04/2025
"PC Gamer ITX Arena, Ryzen 5 5600G, Radeon™ Graphics Vega 7, 16GB Ram, SSD 480GB, Gabinete RGB","(93, 'OK')",CPUs,https://www.amazon.com.br/Gamer-ITX-RadeonTM-Graphics-Gabinete/dp/B0B1ZLNWGD/ref=sr_1_31?dib=eyJ2IjoiMSJ9.4lxg96fImPbYWYX0dQ2FG64fDMwvIfKolDQxNmifPPr-xjF5Tz1DwzgafF2uliMbmRbtBEjJ9DVCpwqAsL-7PTg2NuKabvnL9D390Mpug4_mHyiYMKiEH6nueCyEeuOgBUB7tdQr9PJsZb-vZeVVF1lFrxQkV-ZJTh2EV9R1o9zrenOQtjhQ4xK_CfcSUg3YJ1fCQObgitjlWGVtSSwAYEcZc9-7z44WjPbVk78Jh8Y.Ezoytsmjp-vCfd7pJGmZ3Jq5jZCW2iTiHuRANUHH4qc&dib_tag=se&m=A2KZSP8E0ZF21S&marketplaceID=A2Q3Y263D00KWC&qid=1745346670&s=merchant-items&sr=1-31&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147&xpid=m2HGw1-372EnG,11,"OK - 4.4, Boa",695,100.0,"('665x821', 'Necessário alteração. Baixa resolução')",Adicionar mais 3 imagens,Adicionar um video,Sim,OK,22/04/2025
Memória Patriot Viper Elite II 8GB 3200MHz Vermelho - PVE248G320C8.,"(67, 'OK')",Memória,https://www.amazon.com.br/M%C3%B3dulo-mem%C3%B3ria-%C3%BAnico-Patriot-Viper/dp/B0957WWDS1/ref=sr_1_32?dib=eyJ2IjoiMSJ9.4lxg96fImPbYWYX0dQ2FG64fDMwvIfKolDQxNmifPPr-xjF5Tz1DwzgafF2uliMbmRbtBEjJ9DVCpwqAsL-7PTg2NuKabvnL9D390Mpug4_mHyiYMKiEH6nueCyEeuOgBUB7tdQr9PJsZb-vZeVVF1lFrxQkV-ZJTh2EV9R1o9zrenOQtjhQ4xK_CfcSUg3YJ1fCQObgitjlWGVtSSwAYEcZc9-7z44WjPbVk78Jh8Y.Ezoytsmjp-vCfd7pJGmZ3Jq5jZCW2iTiHuRANUHH4qc&dib_tag=se&m=A2KZSP8E0ZF21S&marketplaceID=A2Q3Y263D00KWC&qid=1745346670&s=merchant-items&sr=1-32&ufe=app_do%3Aamzn1.fos.6121c6c4-c969-43ae-92f7-cc248fc6181d&xpid=m2HGw1-372EnG,207,"OK - 4.6, Ótima",1038,100.0,"('1124x334', 'OK')",OK,Adicionar um video,Sim,Adicionar mais 4 tópico(s),22/04/2025
SSD ALLTEK 512GB SATA III,"(25, 'OK')",Unidades Internas SSD,https://www.amazon.com.br/SSD-ALLTEK-512GB-SATA-III/dp/B0D4YCWVX6/ref=sr_1_33?dib=eyJ2IjoiMSJ9.kgs3n90sVq_6APEZig8Wo_LAdd-bHEsSZ3_cj0Q0jWABB5w4fkAS0lnXHoo3eadI57u47sQp1Kg7AUth0a6zDi2ObhxAsMJVK9iWnFb5M-0gIsJnvSdi03K18I-bGwQQx1xwK6o8JubdQAbdEUV2zndplPJYrY3-LsjNAd6yBqC5O6L1wCt3UXVQJ9ug4cFwa4P7L7MgI0ibkKkucb7fUivDOt-iCElScpjpkQckcWE.Ge3JORU9zvnjq2FAg3YiY1JbGtohgGf4tGH6xVLx7H8&dib_tag=se&m=A2KZSP8E0ZF21S&marketplaceID=A2Q3Y263D00KWC&qid=1745347140&s=merchant-items&sr=1-33&ufe=app_do%3Aamzn1.fos.a492fd4a-f54d-4e8d-8c31-35e0a04ce61e&xpid=m2HGw1-372EnG,77,"OK - 5.0, Ótima",5,43.0,"('902x640', 'Necessário alteração. Baixa resolução')",OK,Adicionar um video,Sim,Adicionar mais 2 tópico(s),22/04/2025
Processador Intel Core i5-12400 2.5 GHz (Turbo 4.4 GHZ) Cache 18MB 6 Núcleos 12 Threads 12ª GER LGA 1700 BX8071512400 - Intel,"(125, 'OK')",CPUs,https://www.amazon.com.br/Processador-Intel-i5-12400-N%C3%BAcleos-BX8071512400/dp/B09MDH6B1P/ref=sr_1_34?dib=eyJ2IjoiMSJ9.kgs3n90sVq_6APEZig8Wo_LAdd-bHEsSZ3_cj0Q0jWABB5w4fkAS0lnXHoo3eadI57u47sQp1Kg7AUth0a6zDi2ObhxAsMJVK9iWnFb5M-0gIsJnvSdi03K18I-bGwQQx1xwK6o8JubdQAbdEUV2zndplPJYrY3-LsjNAd6yBqC5O6L1wCt3UXVQJ9ug4cFwa4P7L7MgI0ibkKkucb7fUivDOt-iCElScpjpkQckcWE.Ge3JORU9zvnjq2FAg3YiY1JbGtohgGf4tGH6xVLx7H8&dib_tag=se&m=A2KZSP8E0ZF21S&marketplaceID=A2Q3Y263D00KWC&qid=1745347140&s=merchant-items&sr=1-34&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147&xpid=m2HGw1-372EnG,31,"OK - 4.8, Ótima",843,100.0,"('854x918', 'Necessário alteração. Baixa resolução')",Adicionar mais 2 imagens,Adicionar um video,Sim,OK,22/04/2025
PROCESSADOR AMD RYZEN 7 5700 3.7GHz (MAX TURBO 4.6GHz) 16MB CACHE AM4 100-100000743BOX,"(86, 'OK')",CPUs,https://www.amazon.com.br/Processador-AMD-Ryzen-5700-Threads/dp/B0CQ4HPJYV/ref=sr_1_35?dib=eyJ2IjoiMSJ9.kgs3n90sVq_6APEZig8Wo_LAdd-bHEsSZ3_cj0Q0jWABB5w4fkAS0lnXHoo3eadI57u47sQp1Kg7AUth0a6zDi2ObhxAsMJVK9iWnFb5M-0gIsJnvSdi03K18I-bGwQQx1xwK6o8JubdQAbdEUV2zndplPJYrY3-LsjNAd6yBqC5O6L1wCt3UXVQJ9ug4cFwa4P7L7MgI0ibkKkucb7fUivDOt-iCElScpjpkQckcWE.Ge3JORU9zvnjq2FAg3YiY1JbGtohgGf4tGH6xVLx7H8&dib_tag=se&m=A2KZSP8E0ZF21S&marketplaceID=A2Q3Y263D00KWC&qid=1745347140&s=merchant-items&sr=1-35&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147&xpid=m2HGw1-372EnG,35,"OK - 4.6, Ótima",401,100.0,"('1500x1189', 'OK')",Adicionar mais 5 imagens,Adicionar um video,Sim,Adicionar mais 4 tópico(s),22/04/2025
Fonte Cougar Atlas 750W 80 Plus Bronze PFC Ativo,"(48, 'OK')",Fontes de Alimentação,https://www.amazon.com.br/Fonte-Cougar-Atlas-Bronze-Ativo/dp/B0BZT4VXL4/ref=sr_1_36?dib=eyJ2IjoiMSJ9.kgs3n90sVq_6APEZig8Wo_LAdd-bHEsSZ3_cj0Q0jWABB5w4fkAS0lnXHoo3eadI57u47sQp1Kg7AUth0a6zDi2ObhxAsMJVK9iWnFb5M-0gIsJnvSdi03K18I-bGwQQx1xwK6o8JubdQAbdEUV2zndplPJYrY3-LsjNAd6yBqC5O6L1wCt3UXVQJ9ug4cFwa4P7L7MgI0ibkKkucb7fUivDOt-iCElScpjpkQckcWE.Ge3JORU9zvnjq2FAg3YiY1JbGtohgGf4tGH6xVLx7H8&dib_tag=se&m=A2KZSP8E0ZF21S&marketplaceID=A2Q3Y263D00KWC&qid=1745347140&s=merchant-items&sr=1-36&ufe=app_do%3Aamzn1.fos.4bb5663b-6f7d-4772-84fa-7c7f565ec65b&xpid=m2HGw1-372EnG,88,"OK - 4.3, Boa",19,45.8,"('1097x868', 'OK')",OK,Adicionar um video,Sim,Adicionar mais 4 tópico(s),22/04/2025
"Placa Mãe Gigabyte A620M H, DDR5, mATX, AM5, M.2 NVME, Displayport/HDMI","(71, 'OK')",Placas-Mãe,https://www.amazon.com.br/Placa-Gigabyte-A620M-DDR5-Displayport/dp/B0C9R3VLW4/ref=sr_1_37?dib=eyJ2IjoiMSJ9.kgs3n90sVq_6APEZig8Wo_LAdd-bHEsSZ3_cj0Q0jWABB5w4fkAS0lnXHoo3eadI57u47sQp1Kg7AUth0a6zDi2ObhxAsMJVK9iWnFb5M-0gIsJnvSdi03K18I-bGwQQx1xwK6o8JubdQAbdEUV2zndplPJYrY3-LsjNAd6yBqC5O6L1wCt3UXVQJ9ug4cFwa4P7L7MgI0ibkKkucb7fUivDOt-iCElScpjpkQckcWE.Ge3JORU9zvnjq2FAg3YiY1JbGtohgGf4tGH6xVLx7H8&dib_tag=se&m=A2KZSP8E0ZF21S&marketplaceID=A2Q3Y263D00KWC&qid=1745347140&s=merchant-items&sr=1-37&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147&xpid=m2HGw1-372EnG,40,Incentivar + review positivo - 3.3,6,30.0,"('982x624', 'Necessário alteração. Baixa resolução')",Adicionar mais 1 imagens,Adicionar um video,Sim,Adicionar mais 4 tópico(s),22/04/2025
Placa Mãe MSI PRO Z790-A MAX WIFI7 (LGA 1700/4xDDR5/HDMI/DisplayPort/M.2/USB 3.2),"(81, 'OK')",Placas-Mãe,https://www.amazon.com.br/Placa-MSI-Z790-4xDDR5-DisplayPort/dp/B0CJYBQH2G/ref=sr_1_38?dib=eyJ2IjoiMSJ9.kgs3n90sVq_6APEZig8Wo_LAdd-bHEsSZ3_cj0Q0jWABB5w4fkAS0lnXHoo3eadI57u47sQp1Kg7AUth0a6zDi2ObhxAsMJVK9iWnFb5M-0gIsJnvSdi03K18I-bGwQQx1xwK6o8JubdQAbdEUV2zndplPJYrY3-LsjNAd6yBqC5O6L1wCt3UXVQJ9ug4cFwa4P7L7MgI0ibkKkucb7fUivDOt-iCElScpjpkQckcWE.Ge3JORU9zvnjq2FAg3YiY1JbGtohgGf4tGH6xVLx7H8&dib_tag=se&m=A2KZSP8E0ZF21S&marketplaceID=A2Q3Y263D00KWC&qid=1745347140&s=merchant-items&sr=1-38&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147&xpid=m2HGw1-372EnG,65,"OK - 4.3, Boa",90,88.4,"('1500x1118', 'OK')",OK,Adicionar um video,Sim,Adicionar mais 4 tópico(s),22/04/2025
"Notebook Gamer Gigabyte Aorus 15 XE4-73BR514SH (Core i7/12700H/16GB DDR4/ 1TB SSD/Win 11 Home/Tela 15,6 Full HD)","(112, 'OK')",Laptops Tradicionais,https://www.amazon.com.br/Notebook-Gamer-Gigabyte-XE4-73BR514SH-12700H/dp/B0D6RX963W/ref=sr_1_39?dib=eyJ2IjoiMSJ9.kgs3n90sVq_6APEZig8Wo_LAdd-bHEsSZ3_cj0Q0jWABB5w4fkAS0lnXHoo3eadI57u47sQp1Kg7AUth0a6zDi2ObhxAsMJVK9iWnFb5M-0gIsJnvSdi03K18I-bGwQQx1xwK6o8JubdQAbdEUV2zndplPJYrY3-LsjNAd6yBqC5O6L1wCt3UXVQJ9ug4cFwa4P7L7MgI0ibkKkucb7fUivDOt-iCElScpjpkQckcWE.Ge3JORU9zvnjq2FAg3YiY1JbGtohgGf4tGH6xVLx7H8&dib_tag=se&m=A2KZSP8E0ZF21S&marketplaceID=A2Q3Y263D00KWC&qid=1745347140&s=merchant-items&sr=1-39&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147&xpid=m2HGw1-372EnG,null,null,-,0.0,"(nan, ""ERRO - 'float' object has no attribute 'lower'"")",Adicionar mais 1 imagens,Adicionar um video,Sim,Adicionar mais 4 tópico(s),22/04/2025
Processador Intel i7-14700KF LGA1700 BX8071514700KF,"(51, 'OK')",CPUs,https://www.amazon.com.br/Processador-Intel-14700KF-Threads-5-6GHz/dp/B0C948QQWF/ref=sr_1_40?dib=eyJ2IjoiMSJ9.kgs3n90sVq_6APEZig8Wo_LAdd-bHEsSZ3_cj0Q0jWABB5w4fkAS0lnXHoo3eadI57u47sQp1Kg7AUth0a6zDi2ObhxAsMJVK9iWnFb5M-0gIsJnvSdi03K18I-bGwQQx1xwK6o8JubdQAbdEUV2zndplPJYrY3-LsjNAd6yBqC5O6L1wCt3UXVQJ9ug4cFwa4P7L7MgI0ibkKkucb7fUivDOt-iCElScpjpkQckcWE.Ge3JORU9zvnjq2FAg3YiY1JbGtohgGf4tGH6xVLx7H8&dib_tag=se&m=A2KZSP8E0ZF21S&marketplaceID=A2Q3Y263D00KWC&qid=1745347140&s=merchant-items&sr=1-40&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147&xpid=m2HGw1-372EnG,32,"OK - 4.6, Ótima",400,100.0,"('736x720', 'Necessário alteração. Baixa resolução')",Adicionar mais 5 imagens,Adicionar um video,Sim,Adicionar mais 4 tópico(s),22/04/2025
PLACA MAE Z790 AORUS ELITE AX DDR5 CHIPSET INTEL Z790 LGA 1700 13ª E 12ª GERACAO - Z790 AUROS ELITE AX,"(102, 'OK')",Placas-Mãe,https://www.amazon.com.br/Placa-Gigabyte-Z790-AX-LGA1700/dp/B0BH28M64J/ref=sr_1_41?dib=eyJ2IjoiMSJ9.kgs3n90sVq_6APEZig8Wo_LAdd-bHEsSZ3_cj0Q0jWABB5w4fkAS0lnXHoo3eadI57u47sQp1Kg7AUth0a6zDi2ObhxAsMJVK9iWnFb5M-0gIsJnvSdi03K18I-bGwQQx1xwK6o8JubdQAbdEUV2zndplPJYrY3-LsjNAd6yBqC5O6L1wCt3UXVQJ9ug4cFwa4P7L7MgI0ibkKkucb7fUivDOt-iCElScpjpkQckcWE.Ge3JORU9zvnjq2FAg3YiY1JbGtohgGf4tGH6xVLx7H8&dib_tag=se&m=A2KZSP8E0ZF21S&marketplaceID=A2Q3Y263D00KWC&qid=1745347140&s=merchant-items&sr=1-41&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147&xpid=m2HGw1-372EnG,598,"OK - 4.4, Boa",433,100.0,"('974x675', 'Necessário alteração. Baixa resolução')",OK,Adicionar um video,Sim,Adicionar mais 4 tópico(s),22/04/2025
Cougar Mouse para jogos Minos XC 4000 DPI com sensor óptico com luz de fundo LED inclui velocidade XC MM mouse pad,"(114, 'OK')",Mouses,https://www.amazon.com.br/Combo-Gamer-Mouse-XC-Mousepad/dp/B07Z2446K9/ref=sr_1_42?dib=eyJ2IjoiMSJ9.kgs3n90sVq_6APEZig8Wo_LAdd-bHEsSZ3_cj0Q0jWABB5w4fkAS0lnXHoo3eadI57u47sQp1Kg7AUth0a6zDi2ObhxAsMJVK9iWnFb5M-0gIsJnvSdi03K18I-bGwQQx1xwK6o8JubdQAbdEUV2zndplPJYrY3-LsjNAd6yBqC5O6L1wCt3UXVQJ9ug4cFwa4P7L7MgI0ibkKkucb7fUivDOt-iCElScpjpkQckcWE.Ge3JORU9zvnjq2FAg3YiY1JbGtohgGf4tGH6xVLx7H8&dib_tag=se&m=A2KZSP8E0ZF21S&marketplaceID=A2Q3Y263D00KWC&qid=1745347140&s=merchant-items&sr=1-42&ufe=app_do%3Aamzn1.fos.6d798eae-cadf-45de-946a-f477d47705b9&xpid=m2HGw1-372EnG,1158,"OK - 4.7, Ótima",26,53.2,"('1129x715', 'OK')",OK,Adicionar um video,Sim,OK,22/04/2025
"Processador Intel Core I5-13400, 4.6GHz, LGA 1700, BX8071513400 *","(65, 'OK')",CPUs,https://www.amazon.com.br/Intel-i5-13400-2-5GHz-Processador-Desktop/dp/B0BN68JXR2/ref=sr_1_43?dib=eyJ2IjoiMSJ9.kgs3n90sVq_6APEZig8Wo_LAdd-bHEsSZ3_cj0Q0jWABB5w4fkAS0lnXHoo3eadI57u47sQp1Kg7AUth0a6zDi2ObhxAsMJVK9iWnFb5M-0gIsJnvSdi03K18I-bGwQQx1xwK6o8JubdQAbdEUV2zndplPJYrY3-LsjNAd6yBqC5O6L1wCt3UXVQJ9ug4cFwa4P7L7MgI0ibkKkucb7fUivDOt-iCElScpjpkQckcWE.Ge3JORU9zvnjq2FAg3YiY1JbGtohgGf4tGH6xVLx7H8&dib_tag=se&m=A2KZSP8E0ZF21S&marketplaceID=A2Q3Y263D00KWC&qid=1745347140&s=merchant-items&sr=1-43&ufe=app_do%3Aamzn1.fos.a492fd4a-f54d-4e8d-8c31-35e0a04ce61e&xpid=m2HGw1-372EnG,65,"OK - 4.6, Ótima",144,100.0,"('644x733', 'Necessário alteração. Baixa resolução')",OK,Adicionar um video,Sim,Adicionar mais 2 tópico(s),22/04/2025
